codigoFipe,modelo,anoModelo1,anoReferencia1,valor1,anoModelo2,anoReferencia2,valor2
060005-9,MARRUÁ AM 150 2.8  CS TDI Diesel,2022,2010,108826.0,2022,2008,107862.0
060006-7,MARRUÁ AM 150 2.8 CD TDI Diesel,2022,2009,117454.0,2022,2009,118740.0
060008-3,MARRUÁ AM 200 2.8  CD TDI Diesel,2022,2009,120353.0,2022,2008,113859.0
060002-4,MARRUÁ AM 50 2.8 140cv TDI Diesel,2022,2009,107745.0,2022,2009,104934.0
060001-6,MARRUÁ 2.8 12V 132cv TDI Diesel,2022,2005,82330.0,2022,2006,88120.0
060001-6,MARRUÁ 2.8 12V 132cv TDI Diesel,2022,2005,82330.0,2022,2008,106420.0
060007-5,MARRUÁ AM 200 2.8 CS TDI Diesel,2022,2009,111593.0,2022,2008,105724.0
060002-4,MARRUÁ AM 50 2.8 140cv TDI Diesel,2022,2009,107745.0,2022,2009,108050.0
060002-4,MARRUÁ AM 50 2.8 140cv TDI Diesel,2022,2009,107745.0,2022,2008,100874.0
060001-6,MARRUÁ 2.8 12V 132cv TDI Diesel,2022,2005,82330.0,2007,2010,74153.0
060003-2,MARRUÁ AM 100 2.8  CS TDI Diesel,2022,2008,108030.0,2022,2010,106255.0
060004-0,MARRUÁ AM 100 2.8 CD TDI Diesel,2022,2008,115189.0,2022,2009,114803.0
060001-6,MARRUÁ 2.8 12V 132cv TDI Diesel,2022,2005,82330.0,2007,2009,78350.0
060001-6,MARRUÁ 2.8 12V 132cv TDI Diesel,2022,2005,82330.0,2022,2006,84833.0
060007-5,MARRUÁ AM 200 2.8 CS TDI Diesel,2022,2009,111593.0,2022,2009,112036.0
060002-4,MARRUÁ AM 50 2.8 140cv TDI Diesel,2022,2009,107745.0,2022,2010,107150.0
060008-3,MARRUÁ AM 200 2.8  CD TDI Diesel,2022,2009,120353.0,2022,2010,115161.0
060007-5,MARRUÁ AM 200 2.8 CS TDI Diesel,2022,2009,111593.0,2022,2009,112249.0
060005-9,MARRUÁ AM 150 2.8  CS TDI Diesel,2022,2010,108826.0,2022,2008,109688.0
060007-5,MARRUÁ AM 200 2.8 CS TDI Diesel,2022,2009,111593.0,2022,2009,111363.0
060002-4,MARRUÁ AM 50 2.8 140cv TDI Diesel,2022,2009,107745.0,2022,2009,106348.0
060002-4,MARRUÁ AM 50 2.8 140cv TDI Diesel,2022,2009,107745.0,2022,2009,107010.0
060002-4,MARRUÁ AM 50 2.8 140cv TDI Diesel,2022,2009,107745.0,2022,2009,106855.0
060005-9,MARRUÁ AM 150 2.8  CS TDI Diesel,2022,2010,108826.0,2022,2008,112137.0
060008-3,MARRUÁ AM 200 2.8  CD TDI Diesel,2022,2009,120353.0,2022,2008,114050.0
060003-2,MARRUÁ AM 100 2.8  CS TDI Diesel,2022,2008,108030.0,2022,2008,112051.0
060008-3,MARRUÁ AM 200 2.8  CD TDI Diesel,2022,2009,120353.0,2022,2008,117394.0
060003-2,MARRUÁ AM 100 2.8  CS TDI Diesel,2022,2008,108030.0,2022,2009,108770.0
060001-6,MARRUÁ 2.8 12V 132cv TDI Diesel,2022,2005,82330.0,2022,2005,83755.0
060001-6,MARRUÁ 2.8 12V 132cv TDI Diesel,2022,2005,82330.0,2022,2007,102562.0
060001-6,MARRUÁ 2.8 12V 132cv TDI Diesel,2022,2005,82330.0,2022,2008,101875.0
060004-0,MARRUÁ AM 100 2.8 CD TDI Diesel,2022,2008,115189.0,2022,2008,111665.0
060006-7,MARRUÁ AM 150 2.8 CD TDI Diesel,2022,2009,117454.0,2022,2008,117407.0
060005-9,MARRUÁ AM 150 2.8  CS TDI Diesel,2022,2010,108826.0,2022,2008,108216.0
060001-6,MARRUÁ 2.8 12V 132cv TDI Diesel,2022,2005,82330.0,2022,2008,104699.0
060008-3,MARRUÁ AM 200 2.8  CD TDI Diesel,2022,2009,120353.0,2022,2010,115399.0
060003-2,MARRUÁ AM 100 2.8  CS TDI Diesel,2022,2008,108030.0,2022,2009,108659.0
060001-6,MARRUÁ 2.8 12V 132cv TDI Diesel,2022,2005,82330.0,2022,2007,109850.0
060004-0,MARRUÁ AM 100 2.8 CD TDI Diesel,2022,2008,115189.0,2022,2009,113083.0
060005-9,MARRUÁ AM 150 2.8  CS TDI Diesel,2022,2010,108826.0,2022,2009,110727.0
060008-3,MARRUÁ AM 200 2.8  CD TDI Diesel,2022,2009,120353.0,2022,2009,118590.0
060003-2,MARRUÁ AM 100 2.8  CS TDI Diesel,2022,2008,108030.0,2022,2009,109402.0
060002-4,MARRUÁ AM 50 2.8 140cv TDI Diesel,2022,2009,107745.0,2022,2009,108253.0
060003-2,MARRUÁ AM 100 2.8  CS TDI Diesel,2022,2008,108030.0,2022,2008,107812.0
060001-6,MARRUÁ 2.8 12V 132cv TDI Diesel,2022,2005,82330.0,2022,2007,106550.0
060005-9,MARRUÁ AM 150 2.8  CS TDI Diesel,2022,2010,108826.0,2022,2009,111106.0
060003-2,MARRUÁ AM 100 2.8  CS TDI Diesel,2022,2008,108030.0,2022,2008,108200.0
060006-7,MARRUÁ AM 150 2.8 CD TDI Diesel,2022,2009,117454.0,2022,2008,119145.0
060008-3,MARRUÁ AM 200 2.8  CD TDI Diesel,2022,2009,120353.0,2022,2009,118959.0
060003-2,MARRUÁ AM 100 2.8  CS TDI Diesel,2022,2008,108030.0,2022,2009,107857.0
060006-7,MARRUÁ AM 150 2.8 CD TDI Diesel,2022,2009,117454.0,2022,2010,115228.0
060005-9,MARRUÁ AM 150 2.8  CS TDI Diesel,2022,2010,108826.0,2022,2009,109502.0
060004-0,MARRUÁ AM 100 2.8 CD TDI Diesel,2022,2008,115189.0,2022,2009,115732.0
060001-6,MARRUÁ 2.8 12V 132cv TDI Diesel,2022,2005,82330.0,2022,2006,84166.0
060003-2,MARRUÁ AM 100 2.8  CS TDI Diesel,2022,2008,108030.0,2022,2008,102938.0
060007-5,MARRUÁ AM 200 2.8 CS TDI Diesel,2022,2009,111593.0,2022,2009,112766.0
060005-9,MARRUÁ AM 150 2.8  CS TDI Diesel,2022,2010,108826.0,2022,2008,106735.0
060008-3,MARRUÁ AM 200 2.8  CD TDI Diesel,2022,2009,120353.0,2022,2009,119974.0
060001-6,MARRUÁ 2.8 12V 132cv TDI Diesel,2022,2005,82330.0,2022,2008,105500.0
060002-4,MARRUÁ AM 50 2.8 140cv TDI Diesel,2022,2009,107745.0,2022,2008,106536.0
060001-6,MARRUÁ 2.8 12V 132cv TDI Diesel,2022,2005,82330.0,2007,2009,77930.0
060001-6,MARRUÁ 2.8 12V 132cv TDI Diesel,2022,2005,82330.0,2022,2008,104071.0
060005-9,MARRUÁ AM 150 2.8  CS TDI Diesel,2022,2010,108826.0,2022,2010,108602.0
060001-6,MARRUÁ 2.8 12V 132cv TDI Diesel,2022,2005,82330.0,2022,2007,107240.0
060001-6,MARRUÁ 2.8 12V 132cv TDI Diesel,2022,2005,82330.0,2022,2006,88844.0
060006-7,MARRUÁ AM 150 2.8 CD TDI Diesel,2022,2009,117454.0,2022,2009,117834.0
060005-9,MARRUÁ AM 150 2.8  CS TDI Diesel,2022,2010,108826.0,2022,2008,112138.0
060004-0,MARRUÁ AM 100 2.8 CD TDI Diesel,2022,2008,115189.0,2022,2010,111949.0
060001-6,MARRUÁ 2.8 12V 132cv TDI Diesel,2022,2005,82330.0,2022,2006,83003.0
060004-0,MARRUÁ AM 100 2.8 CD TDI Diesel,2022,2008,115189.0,2022,2008,115333.0
060005-9,MARRUÁ AM 150 2.8  CS TDI Diesel,2022,2010,108826.0,2022,2009,111421.0
060007-5,MARRUÁ AM 200 2.8 CS TDI Diesel,2022,2009,111593.0,2022,2009,109815.0
060008-3,MARRUÁ AM 200 2.8  CD TDI Diesel,2022,2009,120353.0,2022,2009,117490.0
060004-0,MARRUÁ AM 100 2.8 CD TDI Diesel,2022,2008,115189.0,2022,2008,111325.0
060003-2,MARRUÁ AM 100 2.8  CS TDI Diesel,2022,2008,108030.0,2022,2009,107625.0
